bookID, bookTitle, author, ISBN, category, publisher, yearPublished, status, totalCopies, availCopies, borrowedCopies
B001,The C++ Programming Language,Bjarne Stroustrup,978-0321563842,Programming,Addison-Wesley,2013,Available,5,5,0
B002,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,978-0132350884,Programming,Prentice Hall,2008,Available,3,3,0
B003,To Kill a Mockingbird,Harper Lee,978-0446310789,Fiction,Grand Central Publishing,1960,Available,4,4,0
B004,1984,George Orwell,978-0451524935,Fiction,Signet Classic,1949,Available,6,6,0
B005,The Great Gatsby,F. Scott Fitzgerald,978-0743273565,Fiction,Scribner,1925,Available,3,3,0
B006,Pride and Prejudice,Jane Austen,978-0141439518,Fiction,Penguin Classics,1813,Available,2,2,0
B007,The Catcher in the Rye,J.D. Salinger,978-0316769488,Fiction,Little, Brown and Company,1951,Available,4,4,0
B008,Introduction to Algorithms,Thomas H. Cormen,978-0262033848,Computer Science,MIT Press,2009,Available,2,2,0
B009,The Art of Computer Programming,Donald Knuth,978-0201896831,Computer Science,Addison-Wesley,1997,Available,1,1,0
B010,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,978-0201633610,Programming,Addison-Wesley,1994,Available,3,3,0
B011,The Pragmatic Programmer,David Thomas,978-0201616224,Programming,Addison-Wesley,1999,Available,4,4,0
B012,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,978-0735619678,Programming,Microsoft Press,2004,Available,2,2,0
B013,The Hobbit,J.R.R. Tolkien,978-0547928227,Fantasy,Houghton Mifflin Harcourt,1937,Available,5,5,0
B014,Harry Potter and the Sorcerer's Stone,J.K. Rowling,978-0439708180,Fantasy,Scholastic,1997,Available,7,7,0
B015,The Da Vinci Code,Dan Brown,978-0385504205,Mystery,Doubleday,2003,Available,3,3,0
B016,The Girl with the Dragon Tattoo,Stieg Larsson,978-0307949486,Mystery,Knopf,2005,Available,2,2,0
B017,A Brief History of Time,Stephen Hawking,978-0553380163,Science,Bantam,1988,Available,2,2,0
B018,Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0062316097,History,Harper,2011,Available,3,3,0
B019,Educated,Tara Westover,978-0399590504,Biography,Random House,2018,Available,4,4,0
B020,Becoming,Michelle Obama,978-1524763138,Biography,Crown,2018,Available,5,5,0

